Organization,Description,TargetIndustry,Governance,BusinessSupportType,Website,StreetAddress,Unit,City,Province,PostalCode,Title,ContactLastName,ContactFirstName,Telephone,Email
Ryerson University - Digital Media Zone,"The Digital Media Zone (DMZ) at Ryerson University is one of Canada’s largest business incubators and Coworking spaces for entrepreneurs. The top-ranked university incubator in Canada and fifth in the world, it helps startups succeed by connecting them with customers, advisors, influencers and other entrepreneurs.  The DMZ is based at Ryerson but it’s not just for students; this unique community is home to entrepreneurs and innovators of all ages from across Toronto, Canada and the world. Overlooking the heart of downtown Toronto at Yonge-Dundas Square, the DMZ is a hub of innovation, collaboration and experiential learning.  The DMZ opened its doors in April 2010. Ryerson University president Sheldon Levy saw the value in creating a space on campus that would encourage students, alumni and young entrepreneurs from the wider community to collaborate, innovate and create. The goal was to forge a home for digital industry and entrepreneurship in Toronto, and keep talent in Canada. Since then, the DMZ has incubated more than 130 startups that have raised over $40 million in funding and fostered the creation of more than 1,200 jobs.  The success of the DMZ has inspired a thriving multidisciplinary ecosystem for innovation and entrepreneurship at Ryerson University.  A network of other zones has been created, each specializing in sectors that are poised for growth and transformation. These zones are helping to support the next wave of entrepreneurs from Ryerson and beyond.  Entrepreneurship isn’t a trend; it’s key to the future of economic prosperity in Canada. The DMZ is helping strengthen that future by fuelling the success of emerging entrepreneurial leaders.","Information, Communications and Technology",Academia,Incubator,http://www.digitalmediazone.ryerson.ca ,10 Dundas Street East Ontario ,Suite 600,Toronto,Ontario,M5B 2G9,Director    ,Valerie,Fox,416-979-5000,vfox@ryerson.ca
Ryerson University - Fashion Zone,"We are Canada’s newest incubator for fashion-inspired startups! Working with Ryerson University’s students, alumni, faculty and our growing network of industry professionals, we are focused on launching Canadian fashion businesses. With almost half the available jobs in the Canadian fashion industry being outsourced overseas, the Fashion Zone was created to introduce entrepreneurship as a new viable career path to fashion students, alumni and industry professionals. This is so that we may create, maintain and improve fashion-related job opportunities in Canada.  Through a supportive framework and multi-level participant model, we match Mentors, Associates and Apprentices to a Fashion zone company, allowing them to apply their existing skills and develop new ones, while accelerating a fashion business. We also accept Research projects that have a focus on fashion innovation. Our extensive resource bank ensures we are able to cater to all fashion-inspired businesses.  Ranging from physical equipment, to workspace, mentors and multiple types of advisors, we help our participants create and test their products, consult with professionals, commercialize innovative ideas and grow their fashion businesses.  Finally, the culture we are creating is focused on innovation, collaboration and creativity - a breeding ground for great ideas.  Examples of businesses we accept - Wearable Tech, E-commerce, Mobile Applications, Women’s Wear, Men’s Wear, Children’s Wear, Textile Innovations, Functional Apparel (sport, medical, etc), Accessories, Fashion Buying, Magazines, and Visual Arts.",Fashion,Academia,Incubator,http://www.fashionzone.ca/,10 Dundas St. E. ,B2 Floor,Toronto,Ontario,M5B 2G9,Managing Director,Olga,Okhrimenko,,olga@fashionzone.ca
Ryerson University - Startmeup Ryerson,"We provide a supportive and structured process to meet the needs of students and alumni from all disciplines. Whether you are in the idea stage or have already started your new venture, we look forward to meeting you, hearing about your passions, and helping you take your vision to the next level.  We’ve created an on-line community access portal at www.StartMeUpRyerson.com to provide full details, resources, and access to the program.  The StartMeUp process is managed by Students in Free Enterprise (SIFE) and strongly supported by faculty, university administration, sector experts, community activists, and other partners. As shown in the figure, there are many access points to the program at events and one-on-one orientations, as well as our on-line portal. No matter what your academic background, the StartMeUp Program can work for you! Experts provide supportive feedback and personal recommendations. All appropriate participants are given a customized development program as well as access to various funding sources.","Information, Communications and Technology",Academia,Incubator,http://www.ryerson.ca/rei/startmeup_process/,575 Bay Street,Ryerson University Ted Rogers School of Management TRS 3-139,Toronto,Ontario, M5G 2C5,Director,Valerie,Fox,,vfox@ryerson.ca   
Ryerson University - Transmedia Zone,"The Transmedia Zone develops student skills in ideation, collaboration, and prototyping for the digital content sector.  Transmedia Zone team members and individuals can engage in experiential learning projects that focus on the future of storytelling.The emphasis is on creative innovation and design thinking for media-makers, with best practices developed through iterative design, rapid prototyping and collaborative Coworking. Student-led projects in the Transmedia Zone can lead to further innovations in artistic, business, design and multi-disciplinary fields. Students may apply as individuals or as teams (depending on the proposal).  After being successfully admitted to the Transmedia Zone as per its established criteria, students have the option to be in the Optional Specialization through the following tracks:  - Students may choose to propose their own Zone-framed activity and seek guidance from fellows and faculty members at Ryerson; - Students can also work on a project developed in collaboration with a chosen mentor (an affiliated fellow or faculty-member), who will provide mentorship; - or Students may choose to work in ongoing or sponsored projects in the Zone by requesting and gaining the consent of the Zone management-team, project participants, or principal investigators.",Mixed,Academia,Incubator,http://www.rtatransmediacentre.com/,350 Victoria Street,,Toronto,Ontario,M5B 2K3,Director of Development,Kathleen ,Webb,416-878-8876,kathleen.webb@me.com
School for Social Entrepreneurs Ontario (SSE- O),"The School for Social Entrepreneurs Ontario helps people from all backgrounds to transform their passion and talents into sustainable solutions to poverty, social exclusion, environmental stress, and other societal challenges.; ; SSEO offers a non-traditional and unique training model for social entrepreneurs, people with great ideas for non-profits, cooperatives, for-profit ethical businesses, and other social ventures that will benefit their community. We prioritize students' individual growth within the context of their projects, and connect them to a network of mentors, experts, accomplished entrepreneurs, and social investors.; ; SSEO is a proud member of an international network of schools located also in the UK, Australia, and Ireland.; - See more at: http://www.the-sse.org/schools/11/ontario/60/about-sseo#sthash.mG86q44D.dpuf",Social Innovation,Not-for-profit,Incubator,http://www.sseontario.org,540 Dundas St East  ,,Toronto,Ontario, M5A 3B7,Interim Director     ,Miles,DePaul,,"mdepaul@sseontario.org  """""
SheEO,"The SheEO Program brings together 10 women-led ventures for a series of sessions based on the 8 SheEO Principles from Think Like A SheEO: Succeeding in the Age of Creators, Makers and Entrepreneurs.  The program provides business advisory services, financing and ongoing mentoring to female entrepreneurs.",Mixed,Not-for-profit,Incubator,http://www.iamasheeo.com/,10 Dundas Street East    ,#502,Toronto,Ontario,M5B 2G9,Co-Founder,Vicki,Saunders,,vicki@iamasheeo.com
Social Titan Labs Accelerator,"At Social Titan Labs, we provide companies with a full spectrum of technology solutions. We build mobile and enterprise grade applications for multiple platforms and devices. We also accelerate social, mobile and web products for entrepreneurs and investors.; ; Our Company Culture; ; Our team is made up of engineers, digital strategists, and designers from around the world. We Operate in multiple time zones so we can offer 24 hour support.; ; Our Services; ; Our primary focus is on technology and accelerating startups. We partner up with investors and entrepreneurs looking to build out products and companies in the social and mobile.; ; Our Work; ; We also provide Fortune 500 brands with technology solutions to take their business further. Check out a few of our latest projects for an inside look at the work we've done.; ",Mixed,Private,Accelerator,http://www.socialtitanlabs.com,20 Bay Street,,Toronto,Ontario,M5J 2N8,,,,1-888-483-3331,info@majesticmedia.ca
The Next 36 ,"The Next 36 addresses Canada's deficit of high impact entrepreneurship by providing resource-rich education programs to promising young entrepreneurs. It was founded by a small group of business leaders and academics and is championed by Founding Patrons W. Galen Weston, Paul Desmarais, Sr. and Jimmy Pattison.  We believe that by fast-tracking the development of Canadas most talented young innovators, we will help create industry-changing businesses and grow Canada's long-term prosperity.  The Next Founders is the second program from The Next 36 and is designed for young founders of tech start-ups looking to scale quickly.; ","Information, Communications and Technology",Academia,Incubator,http://www.thenext36.ca,130 Bloor Street West, Suite 702 ,Toronto,Ontario,M5S 1N5 ,"Jon French, Director of Marketing & Events",Jon,French,,jon@thenext36.ca
Toronto Business Development Centre (TBDC) ,"TBDC's Business Incubation Program supports the growth of new and emerging businesses by providing access to a range of key resources such as business advisory support and participation in community of successful entrepreneurs.; ; Business incubation catalyzes the process of starting and growing companies. A proven model, it provides entrepreneurs with the expertise, networks and tools they need to make their ventures successful. Business incubation programs diversify economies, commercialize technologies, create jobs and build wealth.; ; Business incubators nurture new and emerging ventures, helping them to survive and grow during the start–up period when they are most vulnerable. Incubators provide hands-on business advisory support, access to financing and orchestrated exposure to critical technical support services. A business incubation program’s main goal is to produce successful graduates – businesses that are financially viable and freestanding when they leave the incubator, usually within two to four years.; ; If you want your business to achieve it’s goals faster, TBDC's Business Incubation Program may be the catalyst you need.",Mixed,Not-for-profit,Incubator,http://www.tbdc.com,900 - 1 Yonge Street,,Toronto,Ontario,  M5E 1E5,,Michael, Donahue,416.345.8621,mdonahue@tbdc.com
Toronto Fashion Incubator (TFI),"The Toronto Fashion Incubator (TFI) is an award-winning and highly-acclaimed non-profit organization dedicated to supporting and nurturing Canadian fashion designers and entrepreneurs. Housed in an 8,000 sq. ft. heritage building at Exhibition Place in Toronto, TFI provides strategic business-building programs and services including one-on-one mentoring, educational seminars and master classes, shared workspace, in-house design studios, exclusive networking, promotional and marketing opportunities, valuable trend and business resources and market leads.  TFI is the world's first official fashion incubator, established in 1987 by the City of Toronto. Since its launch, the TFI model has been adopted by over thirty global cities including London, Paris, New York, Milan, Amsterdam, Melbourne and Chicago. For almost three decades, TFI has fostered many of Canada’s most celebrated talents such as Sunny Fong of Project Runway Canada fame, Joeffer Caoc, David Dixon, Pina Ferlisi at McQ, Todd Lynn, Arthur Mendonça, Line Knitwear and Smythe.",Fashion,Not-for-profit,Incubator,http://www.fashionincubator.com,285 Manitoba Drive Exhibition Place  ,,Toronto,Ontario, M6K 3C3,Office Manager,Nina ,Facciolo,416-971-7117 ,nina@fashionincubator.com 
Toronto Food Business Incubator (TFBI),"Business Incubation involves dynamic business strategies to help build up strong, viable, companies from an idea and determination. Since starting up a small business can be such a challenge for most, a business incubator is often necessary to help nurture young companies those first few months or years until they have established themselves firmly in the community.; ; The new entrepreneur can look to the incubator for hands-on management assistance, education, information, technical and vital business support services, networking resources, financial advice as well as advice on where to go to seek financial assistance.; ; The goal of an incubator is not only to ensure the small business survives the start-up period where they are most vulnerable, but to produce confident, successful graduates that are well grounded financially and secure in their knowledge of how to run a productive business independently, within two or three years of start-up.; ; On the average ninety-five percent of an incubator's clients graduate, and eighty-seven percent of incubator graduates remain in business, according to the 'Impact of Incubator Investments Study', published in 1997, (NBIA). The resulting community benefits of an incubator are healthy companies, accelerated job growth and a significant return on investment for each development dollar spent.; ; The entrepreneurs emerging from the incubators often prove to be on the leading edge of developing new and innovative technologies, that are affecting society increasingly as they grow, with their quality of products and services. The incubator encourages clients to select a variety of small business to be viable and meet the varied needs of the community, including technology, service, manufacturing, empowerment, specialized and mixed uses, etc.",Food and Beverage,Not-for-profit,Incubator,http://www.tfbi.ca,1 Yonge Street,Suite 960,Toronto,Ontario,M5E 1E5 ,,Michael,Donahue   ,,mdonahue@tbdc.com   
University of Toronto - Impact Centre,"The Impact Centre at the University of Toronto is a cross-disciplinary institute dedicated to creating tangible value to society by drawing from university research excellence in the natural sciences. It aims to become the preeminent national model for proactive knowledge creation, technology translation, entrepreneurship, and industry- relevant student training.  The Impact Centre operates at the nexus of chemistry, physics, biology, engineering, materials science, nanotechnology and photonics, and strives to harness the collective expertise and untapped potential of the university community. This is done through partnerships and collaborative research projects with industry, training of students in the practice of entrepreneurship, and the accelerated productization of university inventions and technology.  The Impact Centre cultivates networks in areas of strength within the University of Toronto to spur the growth of new businesses and the creation of high-quality jobs in Ontario.  There is a focus on connecting students, researchers, and industry to collaborate on projects that address technical and globally relevant challenges and fostering clusters in areas as diverse as solid-state lighting, synthetic biology, nanomaterials, and high-tech devices.",Mixed,Academia,Accelerator,http://www.impactcentre.utoronto.ca,112 College Street,,Toronto,Ontario,M5G 1L6,Director,Cynthia,Goh ,,cgoh@chem.utoronto.ca
University of Toronto - Techno,"Created in 2010, Techno is an elite program for scientists and engineers –  “technopreneurs” –  who want to create technology-based companies. Starting only with scientific expertise, the technopreneurs are guided by experts to learn by doing, building their companies in the process.  Techno is about actual company creation. It has led to more than 60 new start-up companies in the “physical sciences” sector, aimed at giving us a better quality of life.  The Impact Centre at the University of Toronto presents the 5th annual Techno program for aspiring technopreneurs, targeted towards fresh science and engineering graduates, current students and faculty supervisors. The workshop will teach young entrepreneurs to successfully translate their scientific discoveries to commercializable products and services.  The workshop will provide sessions on:  • IP strategies • Product development • Funding your venture • Networking • Corporate governance • Market potential evaluation • Presentation skills • Topical tutorials on related subjects and inspirational guest talks.  The bulk of the time will be devoted to develop the actual business, with access to technical and business mentors and lab space. The IOS will provide lab space for engineering prototype development.  The intake will be in teams (suggested size 3-4) with complementary skill sets. Students with masters or doctoral degrees in sciences or engineering will be preferred; those with other background such as finance and management can join the tech teams. Students/faculty may bring their own technology ideas and work on them. Alternatively, for those with strong entrepreneurial bent of mind without a clearly identified project, we can help connect with a team or provide possible projects.  At the end of the intensive workshop the teams are expected to be ready with a go forward strategy for tech-based business. The Impact Centre will extend its Business a la Carte services to the teams who move forward.","Information, Communications and Technology",Academia,Accelerator,http://www.impactcentre.utoronto.ca/techno,112 College Street,Rm 411 ,Toronto,Ontario,M5G 1L6,,,,416 978 3875,info@imc.utoronto.ca
University of Toronto - The Creative Destruction Lab at The Rotman School of Management,"How it Works; ; Milestones are a central feature of Creative Destruction Lab at Rotman. Our observation is that the greatest weakness of smart, passionate, and dedicated (but inexperienced) entrepreneurs concerns the allocation of their scarce resources (time, capital, relationships). We focus the time, attention, and judgment of a number of successful entrepreneurs, the Lab's Group of Seven Fellows (G7), on working with founders to set specific milestones to guide the allocation of their resources. Milestones are of two types: business and technical. The careful selection of milestones is conducted to most efficiently reduce risk associated with the venture and maximize equity value as quickly as possible.; Specifically, every eight weeks (approximately) ventures meet with the G7. At each meeting, the G7 work with founders to set their milestones for the next meeting. A week before each meeting, ventures send the G7 a one-page summary of the milestones set for their venture in the previous meeting, describing their progress on each. During the meeting, the G7 provide founders feedback, introductions to key relationships to advance their venture, and new milestones for the next meeting. At each meeting the G7 identify the lowest performing venture, which is dropped from the program, allowing the Lab to focus additional resources on ventures with the highest chance of success.; The Lab provides workshops that are designed to increase the probability of venture success. Workshops are led by faculty and industry practitioners. Some are required while others are optional.; ; The Lab also gives ventures access to MBA students who are also interested in the start-up space and work with ventures to increase the likelihood of success .; ; The Lab also provides access to a place to work along with professional services (e.g., legal and accounting) at no cost.; ; In addition, the Lab hosts special events designed to provide ventures with access to early-stage investors (angel and venture capital), successful entrepreneurs, as well as potential partners, customers, recruits, and other key players in the technology entrepreneurship ecosystem.",Mixed,Academia,Accelerator,http://www.creativedestructionlab.com,105 St.George Street,,Toronto,Ontario, M5S 3E6,Associate Director ,Tom , Lowden,416 946 8374,Tom@creativedestructionlab.com
University of Toronto - The Hatchery,"The Hatchery serves University of Toronto students looking to start an entrepreneurial venture. We provide an ecosystem of resources and relationships to turn your brilliant idea into a viable business.  How does it work?  After you apply and are accepted into the Hatchery, you and your team will be given access to all the tools, fellowships, resources and the support network of the Hatchery. Your team will be matched with a suitable mentor, and as a team, you will go through the 3 main aspects of the process.  1)The Business Document - You will develop a document that gives an overview of your business model, using the support and resources of fellow members, faculty and coaches.  2)The Minimum Viable Product - Here you will develop a proof of concept of your business, or a prototype of your product. You will have access to University resources such as laboratories, equipment, computers, and testing facilities.  3)The Pitch - The Hatchery faculty and coaches will help you prepare your business presentation. The Hatchery will connect you with strategic partners with the goal of raising capital.  Participation in the Hatchery is open to teams comprised of University of Toronto students in which at least one of the students is registered in the Faculty of Applied Science and Engineering. Each team must contain at least two students, but typically should not have more than four. An application is required to be considered for membership.",Mixed,Academia,Accelerator,http://www.uoft.me/thehatchery,35 St. George Street ,Faculty of Applied Science & Engineering ,Toronto,Ontario, M5S 1A4,Director Engineering Entrepreneurship Hatchery at University of Toronto - Faculty of Engineering,Joseph,Orozco,,hatchery@ecf.utoronto.ca
University of Toronto - The Hub Ideation  and  Experimental Learning Centre,"As a student in residence at The Hub you will engage in team-based activities that will deepen your understanding of innovation and the process by which ideas are designed to take shape.  You will grow through your interaction with aspiring innovators across the UTSC campus, the University of Toronto overall, and the Toronto region.  We will guide you in finding and refining your idea. We will show you various new ways to create modern technological solutions and viable social initiatives via digital communication and information technologies.  You will gain valuable skills, knowledge, and sharpen your ingenuity so that your creativity can flourish.  In a nutshell, The Hub works lean, and teaches you the same principles in how to approach flexible, fast-paced innovation, particularly geared towards today’s tech solutions.","Information, Communications and Technology",Academia,Incubator,http://www.utsc.utoronto.ca/thehub,1265 Militray Trail ,Scarborough Campus,Toronto,Ontario, M1C 1A4,,Gray,Graffam,,ggraffam@utsc.utoronto.ca
University of Toronto - UTEST,"The UTEST Program is part of U of T’s growing ecosystem of incubators and commercialization support services. In partnership with MaRS Innovation, it provides nascent software companies with start-up funding, mentoring, business strategy and office space in the MaRS Discovery District facility.","Information, Communications and Technology",Academia,Accelerator,http://www.research.utoronto.ca/industry-and-partners/entrepreneurs-and-start-ups/utest/,101 College Street,Suite 402,Toronto,Ontario, M5G 1L7,,Derek,Newton,,derek.newton@utoronto.ca
Women in Film  and  Television (WiFT) ,"About the Program:; ; “The most beneficial thing about the Incubator is that it provides you with a 360-degree look at your project, including story, marketing, cast and budget. Between the instructors and other participants, you get amazing insight as to how your script is working and how to position your film in the marketplace.” –  Geordie Sabbagh, Producer.; ; The WIFT-T Development Incubator is a national initiative, designed to kickstart market-driven feature films and support the next generation of Canadian feature film professionals. Up to six emerging or mid-career producer/writer teams with feature length projects in development, receive the opportunity to work with Canadian and international producers, development executives and story editors.; ; This intensive 4-day incubator examines multiple aspects of feature film development—from writing, to financing, to marketing and distribution—through a series of small group sessions and one-on-one consultations with creative and business experts. Teams receive coaching and feedback instrumental to advancing their market-driven feature film projects to the next level.; ; Finally, the teams are matched with national story editors appropriate to their projects for services resulting in a revised draft within three months of the DI. Participants complete the program once they have submitted a revised script and final business reports.",Creative,Not-for-profit,Incubator,http://www.wift.com,110 Eglinton Avenue East ,Suite 601 ,Toronto,Ontario,M4P 2Y1,Programming & Business Affairs Manager,Renee,Robinson ,,rrobinson@wift.com
York Entrepreneurship Development Institute Accelerator,"With a chance to pitch and receive up to $500,000 in funding at the end of the program, YEDI hopes to broaden the horizon of innovation in Toronto and York Region. YEDI is a free start-up incubator based out of the Schulich Executive Education Centre at York University.  YEDI differs from other incubators in that it provides both an academic and practical education for innovators to transform their ideas into successful business models and efficient not-for-profit organizations. Ventures are accepted from any industry and ensure to provide mentorship and resources accordingly for both business and professional development.  In collaboration with the Schulich Executive Education Centre, JRCC, 3V Communications and more, YEDI accepts 15 participants per cohort and offers 3 program tracks (Incubator, Existing Not-For-Profit and International Start-Up).",Mixed,Academia,Incubator,http://www.yedinstitute.org,4700 Keele St.,,Toronto,Ontario,M3J 1P3 ,Program Director,Maria,Konikov,647-919-9334,mkonikov@yedinstitute.org
Youth Social Innovation Capital Fund,"Youth Social Innovation Capital Fund (YSI) believes in the potential of young entrepreneurs and their ability to have a significant impact in shaping their communities. YSI is committed to providing clients with the skills, connections, and financial resources to succeed, including:  - Financing solutions that focus on your character rather than collateral - Consistent and comprehensive support for the development of your enterprise and for your growth as a young social entrepreneur - Learning and mentorship opportunities to build your business skills and industry knowledge",Social Innovation,Not-for-profit,Incubator,http://www.youthsocialinnovation.org/,585 Dundas St. East,,Toronto,Ontario,,Managing Director,Jory,Cohen,416-828-4644,jory@youthsocialinnovation.org
